Step,HeadX,HeadY,Hunger,Tension,V,DetK
  144,     56.0160281283,      2.8488849920,      0.1149570280,      0.0005591546,      0.1163116493,      1.0000000000
  145,     56.1423354101,      2.8469238774,      0.1155272841,      0.0005603462,      0.1162902952,      1.0000000000
  146,     56.2683837790,      2.8449565393,      0.1160974321,      0.0005615404,      0.1162812885,      1.0000000000
  147,     56.3942528875,      2.8429814991,      0.1166674417,      0.0005627373,      0.1162902719,      1.0000000000
  148,     54.6828070528,      2.8698253330,      0.1179347088,      0.0005638967,      0.4725487260,      1.0000000000
  149,     54.8145484810,      2.8678736051,      0.1185050147,      0.0005650589,      0.1169139859,      1.0000000000
  150,     54.9461364358,      2.8659145381,      0.1190751644,      0.0005662239,      0.1169293969,      1.0000000000
  151,     55.0777109548,      2.8639458547,      0.1196451063,      0.0005673916,      0.1169758671,      1.0000000000
  152,     55.2094962538,      2.8619638510,      0.1202147579,      0.0005685620,      0.1170721707,      1.0000000000
  153,     53.6951892501,      2.8847277097,      0.1213847579,      0.0005696993,      0.4222506714,      1.0000000000
  154,     53.8313589878,      2.8827769451,      0.1219549669,      0.0005708395,      0.1174552161,      1.0000000000
  155,     53.9676702090,      2.8808135027,      0.1225249087,      0.0005719826,      0.1175353931,      1.0000000000
  156,     54.1044577909,      2.8788323667,      0.1230944642,      0.0005731285,      0.1176888267,      1.0000000000
  157,     54.2423232446,      2.8768242560,      0.1236634181,      0.0005742773,      0.1179739991,      1.0000000000
  158,     52.9104143211,      2.8962118250,      0.1247515277,      0.0005753970,      0.3779652068,      1.0000000000
  159,     53.0506677961,      2.8942618877,      0.1253214752,      0.0005765196,      0.1180015476,      1.0000000000
  160,     53.1916779940,      2.8922884509,      0.1258909409,      0.0005776452,      0.1182140063,      1.0000000000
  161,     53.3343026967,      2.8902788783,      0.1264596271,      0.0005787738,      0.1186119390,      1.0000000000
  162,     53.4803527155,      2.8882058901,      0.1270269038,      0.0005799055,      0.1194016882,      1.0000000000
  163,     52.3695944542,      2.9039517552,      0.1280271286,      0.0005810128,      0.3273054097,      1.0000000000
  164,     52.5147143268,      2.9019797879,      0.1285962069,      0.0005821232,      0.1188062478,      1.0000000000
  165,     52.6626597288,      2.8999530866,      0.1291641055,      0.0005832368,      0.1194599187,      1.0000000000
  166,     52.8169162897,      2.8978205846,      0.1297296399,      0.0005843536,      0.1208605102,      1.0000000000
